x_mm,theta_deg,receiving_guide_y_mm,receiving_guide_surface_z_mm,paddle_contact_y_mm,paddle_contact_z_mm,lift_return_guide_y_mm,lift_return_guide_contact_z_mm,branch
706.0,58.0016,-51.003185210511106,48.69016331846284,-111.3521448747384,73.91112336027784,,,
718.0,59.8854,-41.18933907243567,49.35291760111534,-102.3363827722896,72.67503819439068,,,
730.0,63.9871,-19.803754726854667,51.04840207475934,-82.47002637134584,70.15170095337683,,,
742.0,65.0151,-14.46097050073788,51.52459071015302,-77.46037138170222,69.5543409559367,,,
754.0,68.0572,-1.9242678209096908,52.467953667367794,-65.79595189363475,67.28814523665426,,,
766.0,74.9428,26.288482091446994,55.301202444577086,-38.92091838531601,62.716759896429295,,,
778.0,77.9849,38.63480780124202,56.85768008969822,-26.88046933153879,60.96135222713962,,,
790.0,79.1358,42.76166580971105,57.33896223419188,-22.823424581538088,60.186146934764636,,,
802.0,86.3712,5.822393705611205,55.885199623367214,2.822393705611205,55.885199623367214,,,
814.0,97.9528,47.03619814331002,51.245140039992165,24.9428941185789,187.917908876433,,,
826.0,107.2248,79.55732534098328,49.65466412189846,35.69255743057413,181.46540246907713,,,
838.0,109.9887,89.08194003046938,49.5585770419402,38.90873646795465,179.24546483577058,,,
850.0,115.0646,101.96469670300837,43.432045558261024,40.50239888619518,168.43668440809827,,,
862.0,135.5729,148.81473813717835,24.604625668213345,47.26318767692048,121.20479079167079,,,
874.0,144.9922,166.6569763684961,19.03343913996231,50.62477092633233,98.20237580631195,,,
886.0,148.421,171.28852142461818,16.276628175990794,50.72370938890941,88.54359830071975,,,
898.0,163.2289,186.59628074559643,6.8049066551340545,51.46608819248465,46.62465321230847,,,
910.0,177.3256,193.55388249070737,0.8640149945653732,52.7041889692525,7.303114003041848,,,
922.0,180.0,194.0,-7.105427357601002e-15,53.0,7.105427357601002e-15,,,
-76.0,0.0,,,,,-183.56451612903226,59.0,COMMON
-64.0,0.0,,,,,-183.56451612903226,59.0,COMMON
-52.0,0.0,,,,,-183.56451612903226,59.0,COMMON
-40.0,0.0,,,,,-183.56451612903226,59.0,COMMON
-28.0,0.0,,,,,-183.56451612903226,59.0,COMMON
-16.0,0.0,,,,,-183.56451612903226,59.0,COMMON
-4.0,0.0,,,,,-183.56451612903226,59.0,COMMON
