x_mm,branch,theta_deg,center_y_mm,center_z_mm,clearance_mm
-160.0,COMMON,0.0,-115.0,31.0,3.0
-148.0,COMMON,0.0,-115.0,31.0,3.0
-136.0,COMMON,0.0,-115.0,31.0,3.0
-124.0,COMMON,0.0,-115.0,31.0,3.0
-112.0,COMMON,0.0,-115.0,31.0,3.0
-100.0,COMMON,0.0,-115.0,31.0,3.0
-88.0,COMMON,0.0,-115.0,31.0,3.0
-76.0,COMMON,0.0,-115.0,31.0,3.0
-64.0,COMMON,0.0,-115.0,31.0,3.0
-52.0,COMMON,0.0,-115.0,31.0,3.0
-40.0,COMMON,0.0,-115.0,31.0,3.0
-28.0,COMMON,0.0,-115.0,31.0,3.0
-16.0,COMMON,0.0,-115.0,31.0,3.0
-4.0,COMMON,0.0,-115.0,31.0,3.0
8.0,COMMON,0.001,-114.9995,31.001,3.0
20.0,COMMON,0.0151,-114.9918,31.0158,3.0
32.0,COMMON,0.0602,-114.9674,31.063,3.0
44.0,COMMON,0.152,-114.9175,31.1591,3.0
56.0,COMMON,0.3042,-114.8345,31.3182,3.0
68.0,COMMON,0.5285,-114.7115,31.5522,3.0
80.0,COMMON,0.8347,-114.542,31.8708,3.0
92.0,COMMON,1.2307,-114.3203,32.2816,3.0
104.0,COMMON,1.7228,-114.0409,32.7898,3.0
116.0,COMMON,2.3155,-113.6985,33.3988,3.0
128.0,COMMON,3.0118,-113.2883,34.1097,3.0
140.0,COMMON,3.8134,-112.8054,34.9218,3.0
152.0,COMMON,4.7202,-112.2455,35.8323,3.0
164.0,COMMON,5.7313,-111.6043,36.8368,3.0
176.0,COMMON,6.8441,-110.8782,37.9292,3.0
188.0,COMMON,8.0553,-110.064,39.1019,3.0
200.0,COMMON,9.3603,-109.1592,40.3458,3.0
212.0,COMMON,10.7536,-108.1622,41.6507,3.0
224.0,COMMON,12.2288,-107.0723,43.0056,3.0
236.0,COMMON,13.7788,-105.8899,44.3984,3.0
248.0,COMMON,15.3958,-104.6168,45.8167,3.0
260.0,COMMON,17.0713,-103.256,47.2479,3.0
272.0,COMMON,18.7964,-101.8117,48.6792,3.0
284.0,COMMON,20.5617,-100.29,50.1006,3.0
296.0,COMMON,22.3574,-98.6978,51.6605,3.0
308.0,COMMON,24.1736,-97.044,53.7011,3.0
320.0,COMMON,26.0,-95.3381,56.457,3.0
332.0,COMMON,27.8264,-93.5913,60.0232,3.0
344.0,COMMON,29.6426,-91.8154,64.3659,3.0
356.0,COMMON,31.4383,-90.0232,69.3457,3.0
368.0,COMMON,33.2036,-88.2278,74.7498,3.0
380.0,COMMON,34.9287,-86.4427,80.3276,3.0
392.0,COMMON,36.6042,-84.6817,85.8253,3.0
404.0,COMMON,38.2212,-82.958,91.0152,3.0
416.0,COMMON,39.7712,-81.2849,95.7174,3.0
428.0,COMMON,41.2464,-79.6746,99.8121,3.0
440.0,COMMON,42.6397,-78.1387,103.2419,3.0
452.0,COMMON,43.9447,-76.6878,106.0068,3.0
464.0,COMMON,45.1559,-75.331,108.1529,3.0
476.0,COMMON,46.2687,-74.0763,109.7582,3.0
488.0,COMMON,47.2798,-72.9302,110.9171,3.0
500.0,COMMON,48.1866,-71.8975,111.7271,3.0
512.0,COMMON,48.9882,-70.9811,112.2785,3.0
524.0,COMMON,49.6845,-70.1825,112.6472,3.0
536.0,COMMON,50.2772,-69.5009,112.8925,3.0
548.0,COMMON,50.7693,-68.9339,113.0569,3.0
560.0,COMMON,51.1653,-68.4769,113.1688,3.0
572.0,COMMON,51.4715,-68.123,113.2458,3.0
584.0,COMMON,51.6958,-67.8636,113.2984,3.0
596.0,COMMON,51.848,-67.6874,113.3327,3.0
608.0,COMMON,51.9398,-67.5811,113.353,3.0
620.0,COMMON,51.9849,-67.5289,113.3628,3.0
