path,x_mm,y_mm,z_mm,theta_deg,lambda_side,moment_arm_mm
LIFT_COMMON_A,0,-184.0,0.0,0.0,,
LIFT_COMMON_A,20,-184.06408677355773,0.0371455184480389,-0.015134572982788,,
LIFT_COMMON_A,40,-184.2421798676476,0.2831606953757628,-0.1153488159179687,,
LIFT_COMMON_A,60,-184.51100296221088,0.9098887165855416,-0.3704731464385986,,
LIFT_COMMON_A,80,-184.84337569355307,2.051880536899244,-0.834716796875,,
LIFT_COMMON_A,100,-185.20682124136405,3.809773777290293,-1.547783613204956,,
LIFT_COMMON_A,120,-185.56269386240427,6.253380617596168,-2.5359878540039062,,
LIFT_COMMON_A,140,-185.866097543974,9.424312005175883,-3.8133699893951416,,
LIFT_COMMON_A,160,-186.06671051415336,13.33808764020063,-5.3828125,,
LIFT_COMMON_A,180,-186.1105152977408,17.985799108005537,-7.237155675888061,,
LIFT_COMMON_A,200,-185.94234515268613,23.33549189067851,-9.360313415527344,,
LIFT_COMMON_A,220,-185.5090829305589,29.33349725811113,-11.728389024734495,,
LIFT_COMMON_A,240,-184.76328176735055,35.90596803002262,-14.310791015625,,
LIFT_COMMON_A,260,-183.66691975918647,42.960849601058754,-17.071348905563354,,
LIFT_COMMON_A,280,-182.19495995274016,50.3904528567097,-19.96942901611328,,
LIFT_COMMON_A,300,-180.33837234975263,58.07469896687218,-22.961050271987915,,
LIFT_COMMON_A,320,-178.10629474510392,65.88499369317216,-26.0,,
LIFT_COMMON_A,340,-175.52706776628582,73.68858051010676,-29.038949728012085,,
LIFT_COMMON_A,360,-172.64797294390294,81.35313732950705,-32.03057098388672,,
LIFT_COMMON_A,380,-169.53362007707855,88.75133688311804,-34.928651094436646,,
LIFT_COMMON_A,400,-166.26305517477408,95.765094520948,-37.689208984375,,
LIFT_COMMON_A,420,-162.9257746501871,102.28927875847052,-40.2716109752655,,
LIFT_COMMON_A,440,-159.61691940891637,108.23474969442728,-42.639686584472656,,
LIFT_COMMON_A,460,-156.4319740880925,113.53070183174562,-44.76284432411194,,
LIFT_COMMON_A,480,-153.46130971330348,118.12640088932731,-46.6171875,,
LIFT_COMMON_A,500,-150.78488735628235,121.99249945183703,-48.18663001060486,,
LIFT_COMMON_A,520,-148.46739555660193,125.12217818303009,-49.464012145996094,,
LIFT_COMMON_A,540,-146.554035711313,127.5323781803648,-50.45221638679504,,
LIFT_COMMON_A,560,-145.06710458078294,129.26536290311796,-51.165283203125,,
LIFT_COMMON_A,580,-144.00345252712705,130.39077834792192,-51.6295268535614,,
LIFT_COMMON_A,600,-143.33281361780246,131.00827656335414,-51.88465118408203,,
LIFT_COMMON_A,620,-142.99689633068687,131.2506429360449,-51.98486542701721,,
LIFT_COMMON_A,640,-142.90897515927878,131.28723626376842,-52.0,,
RETURN_GUIDE_A,640,-142.90897515927878,131.28723626376842,-52.0,,
RETURN_GUIDE_A,660,-143.33281361780246,131.00827656335414,-51.88465118408203,,
RETURN_GUIDE_A,680,-145.06710458078294,129.26536290311796,-51.165283203125,,
RETURN_GUIDE_A,700,-148.46739555660193,125.12217818303009,-49.464012145996094,,
RETURN_GUIDE_A,716,-152.3514183250161,119.7612911212868,-47.27976547607422,,
RETURN_GUIDE_A,720,-153.46130971330348,118.12640088932731,-46.6171875,,
RETURN_GUIDE_A,724,-154.61845182049402,116.37452240061609,-45.90892544189453,,
RETURN_GUIDE_A,740,-159.61691940891637,108.23474969442728,-42.639686584472656,,
RETURN_GUIDE_A,752,-163.59404069262774,101.02813765158704,-39.771192500000005,,
RETURN_GUIDE_A,760,-166.26305517477408,95.765094520948,-37.689208984375,,
RETURN_GUIDE_A,780,-172.64797294390294,81.35313732950705,-32.03057098388672,,
RETURN_GUIDE_A,800,-178.10629474510392,65.88499369317216,-26.0,,
RETURN_GUIDE_A,820,-182.19495995274016,50.3904528567097,-19.96942901611328,,
RETURN_GUIDE_A,840,-184.76328176735055,35.90596803002262,-14.310791015625,,
RETURN_GUIDE_A,860,-185.94234515268613,23.33549189067851,-9.360313415527344,,
RETURN_GUIDE_A,880,-186.06671051415336,13.33808764020063,-5.3828125,,
RETURN_GUIDE_A,900,-185.56269386240427,6.253380617596168,-2.5359878540039062,,
