x_mm,branch,theta_deg,center_y_mm,center_z_mm,shaft_clearance_mm,min_bowl_z_mm,screw_phase_deg,control_state
-160,COMMON,0.0,-115.0,31.0,15.552753989036916,0.0,0.0,BELT_METERING
0,COMMON,0.0,-115.0,31.0,15.552753989036916,0.0,0.0,LIFT_GUIDE + SCREW_FULL_DRIVE
320,COMMON,-26.0,-102.5,63.5,12.091311662962347,5.3897754362794785,0.0,LIFT_GUIDE + SCREW_FULL_DRIVE
640,FLIP,-52.0,-76.0,96.0,11.095941282539886,22.541752266040774,0.0,SELECTED_PRETRIGGER + LIFT_GUIDE + SCREW_FULL_DRIVE
660,FLIP,-52.34234469135802,-75.46241185185185,97.77138028946123,12.015433751720508,24.206581162698,45.0,TRIGGER + LIFT_GUIDE + SCREW_FULL_DRIVE
675,FLIP,-53.69348839506173,-73.34069400462963,100.91926685114134,13.066670582283475,26.959610366453177,78.75,TRIGGER + RECEIVING_OVERLAP + SCREW_FULL_DRIVE
690,FLIP,-56.54320987654321,-68.86574074074075,104.9429012345679,13.74183777659982,30.28552847834689,112.5,RECEIVING_GUIDE + SCREW_FULL_DRIVE (TRIGGER OFF)
710,FLIP,-63.10066567901235,-58.56848592592593,110.51105278635434,13.698714246606425,34.95150575634058,157.5,RECEIVING_GUIDE + ASYMMETRIC_RELIEF_OPENING
716,FLIP,-65.70399395587161,-54.48044699117037,112.01214501665947,13.492017530451289,36.36836416781017,171.0,RECEIVING_GUIDE + ASYMMETRIC_RELIEF_OPENING
724,FLIP,-69.6189210624,-48.332788019199995,113.7689712261788,13.121415120214536,38.29243718429289,189.0,RECEIVING_GUIDE + ASYMMETRIC_RELIEF_OPENING
752,FLIP,-86.87562740369383,-21.23436634263704,116.53214562061245,11.877522012794937,45.945098291096954,252.0,RECEIVING_GUIDE + ASYMMETRIC_RELIEF_OPENING
760,FLIP,-92.63232,-12.194559999999989,116.06928237343631,11.894233238695271,48.56581086210534,270.0,RECEIVING_GUIDE + SELECTED_SCREW_RELEASED
820,FLIP,-139.36767999999995,61.19455999999991,92.33648237343635,27.645067986812634,29.738310868347988,45.0,RECEIVING_GUIDE + SELECTED_SCREW_RELEASED
900,FLIP,-177.54037728395065,121.13762370370375,39.69358851741949,66.27166899030034,6.147228573696374,225.0,RECEIVING_GUIDE + SELECTED_SCREW_RELEASED
940,FLIP,-180.0,125.0,31.0,69.29592478908658,0.0,315.0,OUTPUT_BELT_SETTLED_INVERTED
960,RETURN/FLIP_EXIT,0.0,-115.0,31.0,15.552753989036916,0.0,0.0,RETURN_GUIDE + METERING_FLANK_REENGAGE
